order_index,question,question_type,difficulty,points,is_active,image_url,correct_answer,explanation
1,"The temperature in England is 11 °C. The temperature in Iceland is 15° colder. What is the temperature in Iceland?",fill_blank,1,10,TRUE,images/math_s4_u1_l1.2_q1.png,-4,"Start at 11 on the number line and jump back 15 places: 11 - 15 = -4 °C."
2,"Look at the number line. Write where you would land on the number line after these moves: start -5, count on 1.",fill_blank,1,10,TRUE,images/math_s4_u1_l1.2_q2.png,-4,"-5 + 1 = -4"
3,"Look at the number line. Write where you would land on the number line after these moves: start -2, count back 4.",fill_blank,1,10,TRUE,images/math_s4_u1_l1.2_q2.png,-6,"-2 - 4 = -6"
4,"Look at the number line. Write where you would land on the number line after these moves: start -3, count on 3.",fill_blank,1,10,TRUE,images/math_s4_u1_l1.2_q2.png,0,"-3 + 3 = 0"
5,"Look at the number line. Write where you would land on the number line after these moves: start 6, count back 9.",fill_blank,1,10,TRUE,images/math_s4_u1_l1.2_q2.png,-3,"6 - 9 = -3"
6,"Here is a number line. Which number does arrow A point to?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q6.png,-5,"Starting from 0, count 5 marks to the left to reach A."
7,"Here is a number line. Which number does arrow B point to?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q6.png,-2,"Starting from 0, count 2 marks to the left to reach B."
8,"Here is a number line. Which number does arrow C point to?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q6.png,3,"Starting from 0, count 3 marks to the right to reach C."
9,"Here is a number line. Which number does arrow D point to?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q6.png,4,"Starting from 0, count 4 marks to the right to reach D."
10,"Here is a number line. Which letter shows the position of a number greater than -4 and less than 0?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q6.png,B,"The numbers between -4 and 0 are -3, -2, and -1. Arrow B points to -2."
11,"Look at this thermometer. What number is the arrow pointing to at a?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q8.png,-8,"The arrow a points 2 ticks to the right of -10."
12,"Look at this thermometer. What number is the arrow pointing to at b?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q8.png,-2,"The arrow b points 2 ticks to the left of 0."
13,"Look at this thermometer. What number is the arrow pointing to at c?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.2_q8.png,12,"The arrow c points 2 ticks to the right of 10."
14,"Which temperature is the coldest? -6 °C, 0 °C, 1 °C, -2 °C",fill_blank,1,10,TRUE,,-6,"The lowest number represents the coldest temperature, which is -6."
